tittle,review,stars
Murah dan tepat waktu,"Saya telah membaca ulasan yang sangat buruk tentang  Air, tetapi saya tidak memiliki keluhan. Penerbangan saya tepat waktu, bahkan berangkat lebih awal. Kursinya nyaman dan saya memiliki penerbangan yang menyenangkan.",3
Maskapai penerbangan harga rendah yang sangat bagus,"Saya telah mendengar banyak tanggapan buruk tentang  Air sebelumnya. Saya terbang sekarang empat kali dengan perusahaan ini (Juga Wings Air) dari dan ke Bali Denpasar dan semuanya sempurna. Pesawat bersih dan baru, barang ramah, selalu tepat waktu (Tidak ada delay penerbangan ini). Orang yang memesan misalnya penerbangan dari Bali ke Lombok seharga sekitar 30 Dolar dan mengharapkan layanan khusus sebaiknya memilih maskapai yang lebih mahal. Saya pasti merekomendasikannya.",5
Terlambat,"Saya telah mendengar banyak ulasan buruk tentang penerbangan ini, tetapi tidak punya pilihan lain selain memilih penerbangan ini pulang karena harga dan waktu. Penerbangan kami delay ""hanya"" 30 menit, dan saya katakan ""hanya"" dibandingkan dengan pengalaman orang lain. Seorang teman memiliki penerbangan pada pukul 11:30 malam. tapi baru masuk jam 07.30 hari berikutnya, jadi saya pergi dari penilaian itu untuk pengalaman saya. Penerbangan baik-baik saja, agak kecil (ruang pesawat dan kaki) tapi itu hanya satu jam perjalanan jadi saya tidur sepanjang waktu. Pesawat juga kotor dari penumpang sebelumnya di pesawat. Anda harus membeli makanan dan makanan ringan untuk perjalanan ini. Tidak yakin apakah itu berlaku untuk penerbangan yang lebih lama juga, tetapi saya terkejut bahwa mereka menawarkan makanan untuk penerbangan satu jam. Saya mungkin tidak akan merekomendasikan siapa pun untuk naik penerbangan ini hanya karena delay. Tetapi jika Anda tidak keberatan menunggu di bandara dan ingin mencari pilihan yang lebih murah untuk penerbangan Anda, maka Anda dapat mempertimbangkan maskapai ini.",3
Jangan berharap untuk terbang tepat waktu!,Saya telah menerbangkan  Air di dalam dan sekitar Indonesia beberapa kali dalam beberapa tahun terakhir. Saya telah mempelajari tingkat layanan yang diharapkan. Jangan pernah merencanakan penerbangan dengan  Air jika Anda berharap tiba di tujuan tepat waktu. Terakhir kali staf check-in mengatakan penerbangan sesuai jadwal yang tidak mungkin mengingat pesawat hampir tidak bisa berangkat dari asalnya karena tiba selarut itu di bandara. Sepertinya semua orang mengharapkan dan menerima tingkat layanan seperti itu dengan  Air.,2
"Perjalanan cepat, tanpa embel-embel dengan harga murah","Saya telah menerbangkan  Air sekitar 40 kali dalam beberapa tahun terakhir. Kadang-kadang kacau, tidak ada banyak ruang untuk kaki dan tidak ada layanan on-board yang nyata. Karena itu, sejauh ini cara paling efisien untuk berkeliling kepulauan Indonesia.  Air terus-menerus memperluas daftar tujuan, dan, bersama dengan anak perusahaannya Wings Air, mencakup wilayah yang luas di Indonesia, bahkan tempat-tempat yang sangat terpencil - terkadang mereka adalah satu-satunya maskapai penerbangan yang melakukan perjalanan tersebut. Karena penerbangan sekarang hanya sedikit lebih mahal daripada perjalanan jauh dengan feri Pelni umum, penerbangan antar tujuan utama cenderung sangat penuh. Baris keluar lebih mahal, dan seringkali, mereka tetap kosong. Tempatkan diri Anda di kursi lorong dekat barisan pintu keluar dan kemungkinan besar awak kabin akan meningkatkan Anda. (Dari pengalaman saya, mereka cenderung bertanya kepada laki-laki Indonesia dan orang Barat - orang yang berpotensi memiliki kaki panjang, saya kira - jika mereka ingin duduk di barisan pintu keluar.) Kebanyakan perjalanan agak singkat (antara 1 dan 2 jam), dan mereka sering berhenti di sepanjang jalan - mis. penerbangan Anda ke Ambon akan terbang ke Surabaya, lalu ke Makassar dan terakhir ke Ambon. Lompatan yang lebih panjang sebagian besar merupakan penerbangan langsung dari Jakarta (meskipun, tergantung pada tujuannya mungkin jauh dan antara) ke tujuan seperti Manado, Ambon atau Jayapura. Untuk kenyamanan lebih, Anda dapat beralih ke penerbangan  atau  untuk perjalanan yang lebih lama. Saat menunggu di gerbang, berhati-hatilah. Sementara bandara Indonesia yang lebih besar memiliki sistem pengumuman otomatis, memanggil penerbangan dalam Bahasa Indonesia dan Inggris, ini tidak akan selalu berhasil, dan terkadang Anda akan menemukan penerbangan sudah naik (atau, dalam keadaan terburuk, pergi), sejak gerbang diubah menit terakhir. Perubahan seperti itu biasa terjadi dan seringkali tidak tercantum di monitor. Khususnya di bandara pedesaan, sangat mungkin tidak ada orang di darat yang bisa berbahasa Inggris, jadi bekali diri Anda dengan beberapa kalimat yang berguna dalam Bahasa Indonesia. Jatah bagasi normal adalah 20 kg (10 kg di Wings Air). Di website  Air, Anda bisa membeli kelebihan bagasi lebih murah daripada di bandara. Bersiaplah untuk dikenakan biaya Rp 8.000 (Rp 15.000 untuk Wings Air) untuk setiap kg kelebihan bagasi dan jangan membantah ketika Anda melihat orang Indonesia check-in enam kotak lebih dari 40 kg secara gratis - percuma. Umumnya, pemesanan melalui situs web  Air hanya berfungsi jika Anda memiliki kartu kredit Indonesia. Gunakan tiket.com atau nusatrip.com untuk pemesanan jika Anda tidak memilikinya - mereka menerima kartu AS dan Eropa, dan harganya sama.",4
Harga penerbangan dan biaya bagasi yang tinggi,"Saya telah terbang berkali-kali selama beberapa tahun terakhir dengan air. Mereka umumnya menawarkan tarif uang yang bernilai rendah tetapi itu tidak lagi terjadi. Mulai 1 Maret mereka menghapus 20kg jatah bagasi terdaftar dan dari Jakarta ke Singapura yang sekarang dikenakan biaya Rp 854600 yang merupakan tambahan dari tarif Rp 1000000 yang tampaknya menjadi tarif dasar normal untuk air di rute tersebut. Penerbangan hanya sekitar 25 persen penuh. Tarifnya sekarang 2 atau 3 kali lebih mahal dari tahun sebelumnya. Untuk beberapa rute, Jetstar atau AirAsia menawarkan tarif yang jauh lebih murah jika dibeli beberapa minggu sebelumnya. Sayangnya di mana air adalah satu-satunya pilihan, maka satu-satunya pilihan adalah memilih tujuan lain atau bersiap untuk membayar tarif tinggi. air mendominasi pasar perjalanan udara Indonesia dan kebijakan penetapan harga yang baru kemungkinan akan memiliki efek merugikan yang signifikan pada pasar perjalanan liburan.",1
Maskapai yang bagus untuk uang.,"Saya telah terbang dengan  Air ke dan dari Bengkulu, enam kali dalam setahun terakhir. Ini adalah maskapai anggaran dan dengan demikian tanpa embel-embel. Penerbangannya satu jam dan tentu saja baik-baik saja untuk perjalanan itu. Kursinya bagus dan pramugarinya juga. Dalam perjalanan terakhir ini, kami mengalami keterlambatan 5 setengah jam meninggalkan Bengkulu dan mereka menyediakan makanan untuk semua penumpang dan juga pengembalian uang Rp 300.000,00 pada tiket, bayangkan itu. Secara keseluruhan saya benar-benar tidak terburu-buru untuk pergi ke Jakarta sehingga delay itu tidak mengganggu saya.",4
Paling sering delay,Saya terbang bersama keluarga saya ke batam untuk tujuan bisnis dan penerbangan mengalami keterlambatan hampir 30 menit dari jadwalnya dan kami menganggapnya normal mengingat mereka adalah perusahaan LCC dan berharap mereka dapat melakukan lebih baik daripada berkomentar. Layanan hanya ketika kita membutuhkan sesuatu di dalam dan itu normal,3
Penerbangan Ontime tanpa Delay,"Saya terbang bulan Mei 2016 dari Surabaya tujuan Banjarmasin, dimana sebelumnya saya ada sedikit prasangka buruk akan delay, mengingat penerbangan ini sering sekali mendapat komplain mengenai delay. Tapi saat check ini ternyata tidak ada tanda-tanda delay dan ternyata penerbangan nya ontime. Sungguh perbaikan yang sangat luar biasa, karena pada saat pulang dari Banjar ke Surabaya pun penerbangan ini juga ontime. Perbaiki terus  Air untuk kemajuan yang lebih baik.",4
Jangan pernah terbang dengan maskapai  ini lagi!!,"Saya terbang dari Jakarta ke Bali dengan bagasi kabin 6,5kg saya bawa ke kabin pesawat, saya sudah membeli jatah bagasi 10kg di muka untuk penerbangan pulang dan barang bawaan yang sama saya bawa ketika saya terbang dari Bali ke Jakarta hari ini 23 Juni 2019 11 :55am, sampai ketemu nyonya di konter check-in yang mencoba menagih saya untuk tas tangan saya, dengan alasan barang bawaan saya ke BESAR untuk saya harap membawanya ke Cabin, ketika saya terbang dari Jakarta saya telah membawa barang bawaan yang sama ke kabin tanpa repot, apalagi dia bersikeras untuk menyimpan barang bawaan ke bagasi pesawat dan membayar tambahan 7Kg karena saya seharusnya membawanya ke kabin tanpa biaya, dia mengatakan bahwa  Air Jakarta dan Bali memiliki aturan yang berbeda yang tidak masuk akal sama sekali, karena mereka menggunakan pesawat yang sama dan mengapa mereka mengizinkan saya membawa barang-barang kecil itu ke Kabin ketika saya terbang dari Jakarta, saya telah meminta untuk berbicara dengan supervisor atau manajer, dia menyebutkan dia adalah orang yang bertanggung jawab dan tidak ada manajer, saya punya e argumen selama 1 jam dan hampir ketinggalan penerbangan saya,  air adalah omong kosong!",1
Naik  Air pesawat delay,"Saya terbang dari MEdan menuju ke Jakarta, dengan pesawat  Air ini dan ternyata harus delay sesuai dengan kebiasaan  air, kemudian kami naik pesawat jumbonya yaitu boing 747. Cukup menarik pengalaman baru naik pesawat besar  air. Untuk pesawatnya terlihat masih baru cuman atidak kotor bagian interiornya dan AC nya juga ada yang menetes air dari atas. Tapi secara overall tidak ada masalah mungkin pelayanan dan service pesawat secara berkala harus lebih diperhatikan lagi.",3
"Pertama kali naik  Air, delay 12 jam untuk penerbangan 2 jam","Saya terbang dari Singapura ke Jakarta untuk perjalanan akhir pekan, berangkat Jumat malam. Awalnya delay selama satu jam, kemudian 2, lalu 5, dan kemudian 10. 12 jam kemudian, saya masih belum meninggalkan Singapura untuk penerbangan 2/3 jam ke Jakarta. Bodohnya aku tidak pergi lebih awal. Mereka akhirnya memberi kami opsi 1) mengembalikan uang penerbangan, 2) mengambil penerbangan ini ketika berangkat, 3) mereka menjadwal ulang penerbangan untuk hari berikutnya. Pilihan yang mengerikan, benar-benar menghebohkan dan tidak ada kompensasi sama sekali untuk keseluruhan penantian. Mereka bahkan kehabisan jus/air untuk menyediakan kami. Jika Anda tidak harus mengambil penerbangan ini, saya sarankan untuk TIDAK mengambilnya, selamanya.",1
Penerbangan tepat waktu,"Saya terbang dengan  Air dari Juanda Surabaya ke bandara Sepinggan Balikpapan pada Januari 2016. Saya memilih penerbangan paling awal dan  Air tepat waktu. Saya senang dengan pelayanan tersebut karena pihak maskapai dapat menghargai waktu yang sangat berharga, sehingga penerbangan harus lepas landas tepat waktu sesuai jadwal. Bravo  Air!",3
Pengalaman penerbangan yang solid,"Saya terbang dengan  air dua kali sekarang dan saya tidak bisa mengatakan hal buruk tentang maskapai ini. Untuk pertama kalinya saya baru saja pergi ke bandara dan memesan tiket saya pada hari keberangkatan dan saya mendapatkan harga yang sama dengan yang ditampilkan secara online. Penerbangan kedua saya, saya memesan secara online sebelumnya dan keduanya hebat dan prosesnya mudah. Stafnya ramah dan ini adalah cara yang murah untuk pergi dari satu tempat ke tempat berikutnya. Saya akan merekomendasikan.",4
Tidak apa-apa selama Anda tidak mengandalkan tepat waktu,"Saya terbang dengan  air pada beberapa kesempatan untuk penerbangan domestik di seluruh Indonesia umumnya tidak memiliki masalah, tetapi dari waktu ke waktu saya mengalami beberapa delay waktu yang membuat frustrasi yang merupakan masalah berkelanjutan, yang kemungkinan besar dialami oleh banyak pelancong. Satu hal yang perlu diperhatikan adalah staf tampaknya mengelola delay dengan sangat baik di terminal dan Anda menyediakan makanan ringan untuk makan tergantung pada waktu delay. Ini benar-benar maskapai penerbangan tanpa embel-embel jadi jangan membangun harapan Anda, stafnya sangat membantu jika mereka bisa, pesawat umumnya bersih dengan tempat duduk yang nyaman. Masalahnya dengan maskapai adalah siapa yang memiliki penerbangan paling sering dan rute terlengkap, baik dari pengalaman saya  air dan terkadang pilihan Anda terbatas. Karena saya tidak membawa tas, saya check-in on line dan mencetak tiket saya tanpa masalah, meskipun saya memesannya melalui agen perjalanan online (Traveloka) karena saya pernah mendapat masalah dari perusahaan lain di masa lalu dan itu' lebih mudah. Menutup ulasan ini, motto perusahaan ini harus layanan yang cepat tidak peduli berapa lama waktu yang dibutuhkan, karena ini bukan penerbangan terakhir dan tampaknya menjadi sifat bisnis di Indonesia, jika mereka tidak benar-benar tepat waktu untuk apa pun itu. santai saja.",3
meningkatkan,"Saya terbang dengan  Air pada tanggal 6 Desember 2019 dari Pangkalpinang (PGK) ke Jakarta (CGK). Pelayanannya baik, tepat waktu, bahkan cuaca tidak begitu baik pilot dapat menangani pesawat dengan sangat baik sampai kami dapat mendarat dengan selamat. Jempol untuk singa, layanannya semakin baik",5
 Air Pertama yang Saya Ambil dengan Lepas landas dan Mendarat yang Lancar,"Saya terbang dengan  Air sekitar 4-5 kali sebelum yang ini dan saya memiliki pengalaman buruk di semuanya (delay, take off dan landing yang kasar, dll). Kali ini saya bepergian sebagai grup jadi saya tidak melakukan pemesanan atau menjelajahi situs web untuk check-in, dll, jadi saya tidak bisa memberikan ulasan apa pun untuk bagian itu. Ulasan ini hanya akan didasarkan pada pengalaman penerbangan saya dari pengalaman konter check-in hingga proses pengambilan bagasi. Pengalaman check-in kacau. Saya tahu ini musim ramai karena liburan Idul Fitri tetapi mereka seharusnya membuat proses check-in lebih lancar. Tidak ada jalur atau informasi yang tepat dan orang-orang hanya pergi sesuka hati. Boarding lancar dan penerbangan tepat waktu, masalah paling umum yang dimiliki  Air Group yang saya takutkan. Bisa juga karena ini adalah penerbangan yang sangat awal (pukul 05.00) sehingga bandara tidak terlalu ramai dan jadwal penerbangan tidak terlalu padat. Saya mendapat kursi jendela pintu keluar darurat (18F) dan itu sangat bagus karena ruang untuk kaki dan masih bisa direbahkan (baris kursi di depan - baris 17 - juga baris pintu keluar darurat dengan ruang kaki yang sama dengan baris 18; namun, karena di belakang mereka memiliki pintu darurat; oleh karena itu, mereka tidak berbaring). Saya telah mengalami duduk di kursi biasa dan itu mengerikan. Ruang kaki tidak manusiawi bahkan untuk orang yang tidak setinggi saya (173cm atau 5'8""). Layanan di pesawat biasa-biasa saja. Mereka bahkan tidak ""peduli"" untuk melayani F",3
"Harga terendah, bagasi gratis, penerbangan tepat waktu","Saya terbang dengan penerbangan pertama hari itu pukul 5:45 pagi. Tadinya saya kira akan delay seperti dulu karena  Air dikenal sebagai maskapai yang kebanyakan delay. Namun ternyata waktu boarding justru 30 menit sebelum jadwal penerbangan dan waktu take off hanya meleset 3 menit dari jadwal keberangkatan. Saya mendarat di Denpasar tepat waktu. Sedikit yang saya tahu,  Air telah meningkat sejak Juni dan mendapat penghargaan sebagai tiga maskapai penerbangan terbaik tepat waktu di Indonesia. Harga termurah setelah  dan memberikan lebih banyak pilihan waktu keberangkatan. Bagasi gratis 20kg. Tidak ada fasilitas makanan tetapi mereka menjualnya di atas kapal. IDR 30K untuk minuman dan IDR 50K untuk makanan. Sangat direkomendasikan untuk pelancong dengan anggaran rendah.",4
Saya sudah mendapatkannya di Daftar Hitam saya!!!!,"Saya terbang dengan perusahaan ini dua kali, dan saya memutuskan bahwa saya tidak akan pernah terbang dengan maskapai ini lagi! Mereka terus menunda penerbangan, Staf konter check-in tidak sopan, Mereka terus mengubah waktu penerbangan, dalam waktu yang sangat singkat! mereka tidak pernah tepat waktu! Bayangkan Anda berada dalam situasi yang mendesak! BALCKLIST!!!",1
Limited Service Airline,"Saya terbang dengan pesawat Airbus A 320 dengan kode registrasi PK-LAR. Pada saat check in ada orang yang menyela antrian saya namun tetap dilayani terlebih dahulu oleh Petugas Check In . Selanjutnya saya meminta ditempatkan di kursi dekat jendela namun diberikan kursi di tengah, sedangkan kursi dekat jendela diberikan kepada Rekan saya.
Keberangkatan penerbangan terlambat selama hampir satu jam. Kemudian selama perjalanan, fasilitas layar hiburan byar pet kadang mati sehingga mengganggu kenikmatan menonton. Snack yang dihidangkan adalah sebungkus roti selai dan sebotol air minum dalam kemasan 330 ml, dihidangkan tanpa kemasan kotak atau kantong kertas.
Di bandara tujuan ternyata pesawat parkir di tempat yang tidak dilengkapi dengan garbarata sehingga penumpang harus turun dengan tangga konvensional, selanjutnya menggunakan bus untuk menuju Terminal Kedatangan. Dengan segala kekurangnyamanan yang terjadi, paling tidak penerbangan berjalan normal dan pesawat mendarat dengan selamat.
Butuh banyak perbaikan layanan.",3
Bagasinya Rusak,Saya terbang dengan teman saya. Awalnya semua baik-baik saja sampai kami tiba di Jakarta dan mengambil bagasi kami. Koper teman saya hancur. Ritsleting rusak dan pakaian di dalamnya mengacak-acak. Tidak ada yang berharga di dalam. Sempat bertanya ke petugas dan mereka hanya mengatakan bisa membantu untuk memperbaiki kasus tersebut.,1
Sebuah komedi kesalahan,"Saya terbang dengan Wings Air (bagian dari  Air) sebagai bagian dari rombongan empat peselancar. Kami melakukan perjalanan dari Bali ke Sumbawa Besar melalui Lombok pada Selasa 19/7/16 dan melakukan perjalanan pulang pada Jumat 29/7/16. Ringkasan pengalaman kami JANGAN menerbangkan Wings Air untuk mencapai tujuan Anda, terutama jika Anda seorang peselancar. Biaya papan selancar. Biayanya Rp 200.000 per papan selancar per penerbangan. Artinya, terbang dari Bali ke Sumbawa, yang mencakup dua penerbangan lanjutan di Lombok, dikenakan biaya Rp400.000 sekali jalan. Kami tidak dapat menemukan informasi ini di mana pun di situs web Wings Air/ Air, yang tentu saja akan menginformasikan pilihan maskapai penerbangan kami. Pegawai Wings Air saat check-in di Denpasar mengatakan kepada kami bahwa biaya tersebut memang tidak ada di website mereka. Perawatan check in papan selancar Saudara saya membayar Rp 1 200.000 untuk tiga papan selancar dari Sumbawa Besar via Lombok ke Bali. Kasus dewannya ditinggalkan di Lombok dan melibatkan banyak waktu dan kerumitan untuk kembali ke Bali. Saya membayar Rp 800.000 untuk dua papan selancar dari Sumbawa Besar via Lombok ke Bali. Salah satu papan saya tiba dengan kerusakan di tiga tempat. Komunikasi Kami pertama kali mencoba melakukan perjalanan dari Bali ke Sumbawa Besar pada Senin 18/7/16. Ada alasan yang sah untuk penerbangan didelay hari itu â€“ beberapa perbaikan sedang dilakukan pada landasan pacu. Tingkat frustrasi dan kecemasan di gerbang yang digunakan oleh Wings Air dipicu oleh kurangnya komunikasi dan miskomunikasi. Setelah beberapa jam mencari informasi, kami diberitahu bahwa penerbangan jam 3 sore kami akan berangkat jam 18:45. Kami mencari konfirmasi ini pada empat kesempatan lebih lanjut karena kami ingin tidak ketinggalan penerbangan kami. Ketika 18:45 datang, kami pergi ke gerbang untuk memeriksa apa yang terjadi dan diberitahu bahwa penerbangan kami (dan papan selancar kami) sudah berangkat pukul 17:10. Sejumlah penumpang lainnya juga terlantar akibat aksi ini. membantu. Kami pergi ke kantor Wings Air/ Air untuk mencari tahu bagaimana kami sekarang bisa sampai ke Sumbawa Besar, dan bagaimana kami bisa memastikan keamanan empat tas selancar kami dengan 11 papan selancar. Kami terkejut menemukan bahwa Wings Air mencoba membuat kami membayar untuk penerbangan baru karena kami â€œgagal muncul di gerbangâ€ untuk penerbangan kami!! (walaupun kami hanya duduk 10m jauhnya, setelah diyakinkan lagi bahwa penerbangan kami tidak akan berangkat sampai 18:45). Butuh waktu lebih dari 2 jam di kantor Wings Air/ Air untuk mendapatkan tiket baru untuk hari berikutnya. Selama periode 2 jam ini cerita berubah dari â€Anda harus membayar lagi untuk tiket baruâ€ menjadi â€besok tidak ada penerbangan ke Sumbawa Besarâ€ menjadi â€semua penerbangan besok ke Sumbawa Besar sudah fullâ€ . Setelah 2 jam kami akhirnya pergi dengan tiket tetapi tanpa tahu di mana tas papan kami berada atau jika ada langkah yang diambil untuk memastikan keamanannya. Kesan yang kami peroleh dari staf dari interaksi kami di gerbang dan di kantor  Air/Wings Air adalah staf yang kurang terlatih dan tidak memiliki perlengkapan yang memadai melakukan yang terbaik di lingkungan kerja yang buruk dan berada di pihak penerima dari situasi sulit yang dapat dihindari. hasil dari kebijakan yang buruk. Mereka tampaknya tidak mendapatkan dukungan yang memadai dari manajemen senior ketika mencoba mengatasi masalah yang mereka hadapi (kantor penuh dengan pelanggan yang tidak puas selama kami berada di sana)",1
40 menit terbang dengan AC hangat,"Saya terbang ke Surabaya pada 8 Desember dari Denpasar, saya tidak punya pilihan karena waktu agenda saya terbatas jadi saya mengambil penerbangan ini, dari lepas landas sampai tiba di Surabaya AC sepertinya tidak berfungsi seperti biasa. Saya merasa sulit bernafas karena suhu di dalam kabin dengan penumpang penuh hangat. Apakah saya akan menggunakan maskapai ini lagi? jawabannya pasti TIDAK.",1
Pertama dan mungkin tidak,"Saya terbang ke Surat untuk pernikahan teman saya. Saya membeli tarifnya sekitar THB 890. sama dengan Nok Air. Itu adalah perjalanan pertama saya dengan Thai  dan saya selalu mengingatnya. Penerbangannya delay. Selama menunggu mereka membuka lagu-lagu Thailand yang berisik dan awak kabin berjalan dengan langkah yang lantang. Langkah mereka bisa menggetarkan kursiku. Cara yang begitu tidak sopan. Saat mengambil minuman disajikan kantong Orero dengan cangkir air kecil. Dan parahnya, para kru menyeret tong sampah besar untuk mengambil sampah dari penumpang. Itu benar-benar citra buruk yang pernah O lihat selama penerbangan.",1
Terbang yang Perlu Konsisten,"Saya terbang kemarin terlambat satu jam, biasanya  selalu tepat waktu. Syukur kali ini layar TV ada layanan film. Biasanya saya naik ada yang sudah mati, atau tidak ada layar dan bahkan filmnya sudah lama tidak berganti. Namun kali ini film-film sudah berganti. Makanan juga kadangkala baik tapi kadangkala tidak enak. Saya memilih Batik karena ketepatan waktu dan harga lebih murah dari . Namun saran saya agar Batik meningkatkan konsistensi pelayanan sehingga apa yang dijanjikan sebagai layanan premium terwujud. Sukses buat Batik.",4
Pelayanan check in buruk,"Saya terbang menggunakan  dari bandara Samarinda ke bandara Halim Perdanakusuma pada tanggal 17 Mei 2019 nmr penerbangan ID 7280.
Saya melakukan check in via web memilih seat 4D dan boarding diterima di alamat email, tetapi betapa kagetnya setelah diberikan Boardingpass dengan seat 11C.
Saya minta seat sesuai Boardingpass yang saya dapatkan melalui email, tetapi petugas mengatakan bahwa saya terlambat melapor sehingga sudah diisi orang lain.
Saya menemui pejabat yang mengaku manager dan jawabannya sama.
Kecurigaan saya bahwa seat saya nmr 4D tersebut diberikan kepada orang lain dengan imbalan.
Mohon yang berwenang dapat menjelaskan tentang hal ini.",3
Terbang dengan pesawat delay,Saya terbang pada tanggal 04 May tujuan dari Jakarta ke Denpasar yang seharusnya pukul 18.55 karena delay dan bandara bali sedang dalam perbaikan sehingga kami terbang pukul 21.00 cukup lelah untuk penerbangannya akan tetapi harga lumayan terjangkau. Mungkin bisa di perbaiki untuk standart operasionalnya terkait dengan delay tersebut sehingga menjadi penerbangan on time.,3
Penurunan Kualitas,"Saya terbang secara reguler dari Manado-Jakarta-Manado, frekuensi 4-5 kali dlm setahun. Waktu awal sekali sy pakai  (mid 2 13) sangat overwhelming, makanan & minuman yang disajikan berkelas. Pilihan film, music or else di inflight entertainment ny sangat membantu untuk mengurangi kejenuhan selama penerbangan 3 jam tersebut. Namun sejak tahun ini, saya lihat banyak sekali penurunan kualitas, dari mulai Inflight E'tainment yg sering tidak berfungsi, menu makan yg sangat payah, dan minuman yg hanya air, teh dan kopi, dari sebelumnya ada 3 macam jus, coke, fresh milk. Bhkan penerbangan terakhir saya (26-12-2 16) kopi pun tdk ada.",3
Maskapai murah yang bagus.,"Saya terbang setiap bulan dari Bali ke Jogjakarta dan saya menemukan jadwal dan layanan terbaik lebih baik daripada maskapai lokal lainnya, tanpa biaya tersembunyi, pelengkap bagasi gratis yang lebih besar. Layanan ini juga baik.",4
JANGAN TERBANG DENGAN  AIR!!!,Saya terbang setiap minggu untuk urusan bisnis di seluruh Asia dan ini pasti maskapai penerbangan terburuk di Asia. Penerbangan delay 5 jam yang berarti kami ketinggalan penerbangan lanjutan ke Sumbawa. Kemudian sebagai kompensasi mereka mencoba menjebak Anda di kamar hotel dengan orang asing untuk menghemat biaya. Akhirnya terbang keesokan paginya hanya untuk tiba di Sumbawa tanpa barang bawaan kami karena mereka mengirimnya ke Jakarta.... Seharusnya maskapai ini tutup saja.,1
Maskapai budget terbaik di Indonesia,Saya terkejut ketika kami terbang dengan airbus. Ini adalah pengalaman yang sangat menyenangkan. Hal yang saya suka dari  adalah kami dapat memiliki kursi darurat di konter pemeriksaan kami :) Masih maskapai anggaran favorit saya :),5
Kualitas dan layanan hebat untuk harganya,"Saya terkesan dengan standar layanan, dibandingkan dengan maskapai Anggaran lainnya. Saya sangat senang dengan bagaimana situs web / sistem pemesanan mereka tidak mencoba dan menambahkan biaya tersembunyi dan fakta bahwa Anda mendapatkan bagasi 30kg termasuk luar biasa! Saya pikir pesawat itu terawat dengan baik dan ruang kaki yang bagus. Saya pasti akan terbang bersama mereka lagi.",5
Jadwal terbaik dan tepat waktu,"Saya terpaksa membeli tiket penerbangan denpasar ke bandung karena ada urusan mendadak. Dapatlah saya harga termurah yang sebenarnya tidak terlalu murah. Jam terbangnya cocok sekali yaitu malam jam 20:00 dari DPS, tepat waktu jam 19:16 sudah dipanggil untuk boarding, lalu taxiing dan take off sekitar jam 20:00. Mendarat di BDO juga tepat 20:35 dari estimasi 20:45. Jadi siapa bilang  selalu delay? Saya juga senang dapat PK-LOG karena inibpertama kalinya saya dapat 737-800 nya ",4
"maskapai anggaran yang sangat murah, kinerja tepat waktu yang buruk, dan ruang kaki yang sangat buruk","saya tetap terbang antara bandung dan bali, pesawat ini terus-menerus delay, dan jika Anda tinggi seperti saya 6' maka kecuali Anda mendapatkan baris keluar Anda akan seperti ikan sarden ..... berkali-kali saya ingin mendapatkan kursi di baris 1 tetapi mereka tidak mengizinkannya, kursi ini selalu kosong untuk beberapa aturan indo bodoh,  mengizinkannya ....",2
PELAYANAN HANCUR,"Saya tiba di bandara 30 menit sebelum keberangkatan saya sampai ke antri ditempat checkin tinggal 15 menit sebelum keberangkatan disitu petugas checkin bukannya langsung segera membuat tiket saya, malah sibuk menceramahi saya kenapa telat. Apa yg seharusnya bisa di kejar jadi ga bisa di kejar alhasil saya gagal terbang",1
Pembatalan,"Saya tiba di Bandara Denpasar 2 jam sebelum penerbangan berangkat ke Lombok dan menyambung ke Sumbawa. Ketika saya sampai di konter, saya diberitahu bahwa penerbangan itu dibatalkan dan saya bisa mendapatkan pengembalian uang untuk tiket saya, atau saya bisa mengejar penerbangan ke Lombok yang pukul 17.00, 4 jam lagi untuk menunggu. Mereka memberi tahu saya bahwa  Air akan membayar kamar Hotel saya dan saya bisa mengambil penerbangan pagi jam 7-00 pagi ke Sumbawa. Saya setuju untuk ini. Penerbangan ke Lombok memakan waktu sekitar 30 menit. Ketika saya tiba di Lombok tidak ada organisasi apa pun. Tidak ada orang yang tahu apa yang mereka lakukan, saya tidak bisa meminta orang untuk memberi saya nasihat. Akhirnya setelah menghabiskan hampir 2 jam menunggu akhirnya saya diarahkan ke bus yang membawa saya ke Hotel. Saya sering terbang namun ini adalah layanan terburuk yang pernah saya alami. Mereka tidak mengatur lampu pembatalan tanpa memberi tahu orang-orang dan staf tidak tahu apa yang mereka lakukan",1
Kartu kredit/debit untuk pembayaran,"Saya tidak bisa membayar tiket elektronik saya dengan kartu, harus menyewa taksi",4
Wings Air - Anda akan mengayunkannya !!,"Saya tidak dapat menemukan bagian ulasan untuk meninggalkan komentar untuk Wings itu layanan yang dioperasikan oleh  Air. Bantulah diri Anda sendiri dan JANGAN menerbangkan layanan maskapai ini. Biaya penerbangan dan ketersediaan waktu mungkin terlihat menarik, tetapi jangan biarkan hal ini menipu Anda. Maskapai ini tidak pernah terbang tepat waktu Anda kemudian akan naik pesawat  air tua yang bau ke tujuan Anda. Tidak akan berbeda jika Anda terbang dengan pesawat ternak. Di bandara Anda akan dipukul dengan kelebihan bagasi yang dijamin, yang melakukan perjalanan internasional hanya dengan 10 kilo checkin (bukan saya)! Jadi dengan semua biaya tambahan, delay, dan masalah, apakah itu benar-benar layak untuk ""Sayang"". Bantulah diri Anda terbang sehari lebih awal atau beberapa jam lebih awal dan pergi dengan salah satu maskapai lain.",1
